Country,Sector,Product CN Code,Description,Default Value (direct emissions),Default Value (Indirect emissions),Default Value (total emissions),2026 Default Value (Including mark-up),2027 Default Value (Including mark-up),2028 Default Value (Including mark-up),Underlying production route determining CBAM BM
Trinidad and Tobago,Fertilisers,28342100,Nitrate of potassium,1.64,0.07,1.71,1.727,1.727,1.727,
Trinidad and Tobago,Fertilisers,3102,"Mineral or chemical fertilizers, nitrogenous",,,,see below,see below,see below,
Trinidad and Tobago,Fertilisers,31021012,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing =>31,8% but <=33,2 % by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",0.5,0.04,0.53,0.535,0.535,0.535,
Trinidad and Tobago,Fertilisers,31021015,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing >33,2% but <=55% by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",0.82,0.04,0.86,0.869,0.869,0.869,
Trinidad and Tobago,Fertilisers,31021019,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)",1.49,0.12,1.61,1.626,1.626,1.626,
Trinidad and Tobago,Fertilisers,31021090,"Urea, whether or not in aqueous solution, containing <= 45% by weight of nitrogen on the dry anhydrous product (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of <= 10 kg)",1.46,0.11,1.57,1.586,1.586,1.586,
Trinidad and Tobago,Fertilisers,31022100,"Ammonium sulphate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.62,0.08,0.71,0.717,0.717,0.717,
Trinidad and Tobago,Fertilisers,31022900,Double salts and mixtures of ammonium sulphate and ammonium nitrate,1.14,0.1,1.24,1.252,1.252,1.252,
Trinidad and Tobago,Fertilisers,31023010,Ammonium nitrate in aqueous solution (excl. that in packages with a gross weight of <= 10 kg),1.24,0.07,1.31,1.323,1.323,1.323,
Trinidad and Tobago,Fertilisers,31023090,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.91,0.11,2.02,2.04,2.04,2.04,
Trinidad and Tobago,Fertilisers,31024010,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing <= 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.61,0.1,1.72,1.737,1.737,1.737,
Trinidad and Tobago,Fertilisers,31024090,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing > 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.61,0.1,1.72,1.737,1.737,1.737,
Trinidad and Tobago,Fertilisers,31025000,"Sodium nitrate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",2.92,0.08,3.0,3.03,3.03,3.03,
Trinidad and Tobago,Fertilisers,31026000,"Double salts and mixtures of calcium nitrate and ammonium nitrate (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.6,0.1,1.7,1.717,1.717,1.717,
Trinidad and Tobago,Fertilisers,31028000,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excl. those in packages with a gross weight of <= 10 kg),1.33,0.09,1.42,1.434,1.434,1.434,
Trinidad and Tobago,Fertilisers,31029000,Mineral or chemical nitrogen fertilisers (excl. urea; ammonium sulphate; ammonium nitrate; sodium nitrate; double salts and mixtures of ammonium nitrate with ammonium sulphate or calcium; mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution; mixtures of ammonium nitrate and calcium carbonate or other non-fertilising inorganic elements; in tablets or similar in packages <= 10 kg),1.44,0.11,1.55,1.566,1.566,1.566,
Trinidad and Tobago,Fertilisers,3105,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium",,,,see below,see below,see below,
Trinidad and Tobago,Fertilisers,31051000,"Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, or in packages with a gross weight of <= 10 kg",0.67,0.09,0.76,0.768,0.768,0.768,
Trinidad and Tobago,Fertilisers,31052010,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.81,0.1,0.91,0.919,0.919,0.919,
Trinidad and Tobago,Fertilisers,31052090,"Mineral or chemical fertilisers containing nitrogen, phosphorus and potassium, with a nitrogen content <= 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.55,0.08,0.63,0.636,0.636,0.636,
Trinidad and Tobago,Fertilisers,31053000,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.52,0.06,0.58,0.586,0.586,0.586,
Trinidad and Tobago,Fertilisers,31054000,"Ammonium dihydrogenorthophosphate ""monoammonium phosphate"", whether or not mixed with diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.33,0.05,0.38,0.384,0.384,0.384,
Trinidad and Tobago,Fertilisers,31055100,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (nitrates and phosphates),1.1,0.13,1.23,1.242,1.242,1.242,
Trinidad and Tobago,Fertilisers,31055900,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (excl. nitrates and phosphates),0.58,0.1,0.67,0.677,0.677,0.677,
Trinidad and Tobago,Fertilisers,31059020,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one principal fertilising substance only, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, containing > 10% nitrogen by weight (excl. in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.09,0.08,1.17,1.182,1.182,1.182,
Trinidad and Tobago,Fertilisers,31059080,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one main fertilising element, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, not containing nitrogen or with a nitrogen content, by weight, of <= 10% (excl. in tablets or similar forms or in packages of a gross weight of <= 10 kg)",0.56,0.05,0.61,0.616,0.616,0.616,
Trinidad and Tobago,Hydrogen,28041000,Hydrogen,10.82,,10.82,11.902,12.984,14.066,
Tunisia,Cement,25070080,Calcined clay,,,,,,,
Tunisia,Cement,25231000,White clinker,1.29,0.05,1.33,1.463,1.596,1.729,(B)
Tunisia,Cement,25231000,Grey clinker,0.85,0.03,0.88,0.968,1.056,1.144,(A)
Tunisia,Cement,25232100,White Portland cement,1.26,0.14,1.39,1.529,1.668,1.807, 
Tunisia,Cement,25232900,Grey Portland cement,0.86,0.06,0.91,1.001,1.092,1.183, 
Tunisia,Cement,25239000,White hydraulic cements,1.3,0.16,1.46,1.606,1.752,1.898,(B)
Tunisia,Cement,25239000,Grey hydraulic cements,0.82,0.06,0.88,0.968,1.056,1.144,(A)
Tunisia,Cement,25233000,Aluminous cement,,,,,,, 
Tunisia,Fertilisers,28080000,Nitric acid; sulphonitric acids,2.57,0.03,2.6,2.626,2.626,2.626, 
Tunisia,Fertilisers,28141000,Anhydrous ammonia,2.0,0.1,2.1,2.121,2.121,2.121, 
Tunisia,Fertilisers,28142000,Ammonia in aqueous solution,0.6,0.03,0.63,0.636,0.636,0.636, 
Tunisia,Fertilisers,28342100,Nitrate of potassium,2.07,0.05,2.12,2.141,2.141,2.141, 
Tunisia,Fertilisers,3102,"Mineral or chemical fertilizers, nitrogenous",,,,see below,see below,see below, 
Tunisia,Fertilisers,31021012,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing =>31,8% but <=33,2 % by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",0.46,0.03,0.48,0.485,0.485,0.485, 
Tunisia,Fertilisers,31021015,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing >33,2% but <=55% by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",0.76,0.03,0.78,0.788,0.788,0.788, 
Tunisia,Fertilisers,31021019,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)",1.38,0.08,1.46,1.475,1.475,1.475, 
Tunisia,Fertilisers,31021090,"Urea, whether or not in aqueous solution, containing <= 45% by weight of nitrogen on the dry anhydrous product (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of <= 10 kg)",1.34,0.08,1.43,1.444,1.444,1.444, 
Tunisia,Fertilisers,31022100,"Ammonium sulphate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.59,0.06,0.66,0.667,0.667,0.667, 
Tunisia,Fertilisers,31022900,Double salts and mixtures of ammonium sulphate and ammonium nitrate,1.33,0.07,1.4,1.414,1.414,1.414, 
Tunisia,Fertilisers,31023010,Ammonium nitrate in aqueous solution (excl. that in packages with a gross weight of <= 10 kg),1.57,0.05,1.62,1.636,1.636,1.636, 
Tunisia,Fertilisers,31023090,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",2.41,0.08,2.49,2.515,2.515,2.515, 
Tunisia,Fertilisers,31024010,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing <= 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",2.07,0.08,2.15,2.172,2.172,2.172, 
Tunisia,Fertilisers,31024090,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing > 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",2.07,0.08,2.15,2.172,2.172,2.172, 
Tunisia,Fertilisers,31025000,"Sodium nitrate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",4.01,0.05,4.06,4.101,4.101,4.101, 
Tunisia,Fertilisers,31026000,"Double salts and mixtures of calcium nitrate and ammonium nitrate (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",2.02,0.07,2.09,2.111,2.111,2.111, 
Tunisia,Fertilisers,31028000,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excl. those in packages with a gross weight of <= 10 kg),1.51,0.06,1.58,1.596,1.596,1.596, 
Tunisia,Fertilisers,31029000,Mineral or chemical nitrogen fertilisers (excl. urea; ammonium sulphate; ammonium nitrate; sodium nitrate; double salts and mixtures of ammonium nitrate with ammonium sulphate or calcium; mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution; mixtures of ammonium nitrate and calcium carbonate or other non-fertilising inorganic elements; in tablets or similar in packages <= 10 kg),1.55,0.08,1.63,1.646,1.646,1.646, 
Tunisia,Fertilisers,3105,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium",,,,see below,see below,see below, 
Tunisia,Fertilisers,31051000,"Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, or in packages with a gross weight of <= 10 kg",0.76,0.06,0.83,0.838,0.838,0.838, 
Tunisia,Fertilisers,31052010,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.01,0.08,1.09,1.101,1.101,1.101, 
Tunisia,Fertilisers,31052090,"Mineral or chemical fertilisers containing nitrogen, phosphorus and potassium, with a nitrogen content <= 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.69,0.06,0.75,0.758,0.758,0.758, 
Tunisia,Fertilisers,31053000,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.47,0.05,0.52,0.525,0.525,0.525, 
Tunisia,Fertilisers,31054000,"Ammonium dihydrogenorthophosphate ""monoammonium phosphate"", whether or not mixed with diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.3,0.04,0.34,0.343,0.343,0.343, 
Tunisia,Fertilisers,31055100,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (nitrates and phosphates),1.4,0.1,1.49,1.505,1.505,1.505, 
Tunisia,Fertilisers,31055900,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (excl. nitrates and phosphates),0.55,0.09,0.64,0.646,0.646,0.646, 
Tunisia,Fertilisers,31059020,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one principal fertilising substance only, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, containing > 10% nitrogen by weight (excl. in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.36,0.06,1.42,1.434,1.434,1.434, 
Tunisia,Fertilisers,31059080,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one main fertilising element, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, not containing nitrogen or with a nitrogen content, by weight, of <= 10% (excl. in tablets or similar forms or in packages of a gross weight of <= 10 kg)",0.7,0.04,0.74,0.747,0.747,0.747, 
Tunisia,Aluminium,7601,Unwrought aluminium,0.36,,0.36,0.396,0.432,0.468,(L)
Tunisia,Aluminium,7603,Aluminium powders and flakes,0.76,,0.76,0.836,0.912,0.988,(L)
Tunisia,Aluminium,76041010,Bars and rods,0.98,,0.98,1.078,1.176,1.274,(L)
Tunisia,Aluminium,76041090,Profiles,1.0,,1.0,1.1,1.2,1.3,(L)
Tunisia,Aluminium,76042100,Hollow profiles,1.0,,1.0,1.1,1.2,1.3,(L)
Tunisia,Aluminium,76042910,Bars and rods,0.98,,0.98,1.078,1.176,1.274,(L)
Tunisia,Aluminium,76042990,Profiles,1.0,,1.0,1.1,1.2,1.3,(L)
Tunisia,Aluminium,7605,Aluminium wire,0.98,,0.98,1.078,1.176,1.274,(L)
Tunisia,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm",1.44,,1.44,1.584,1.728,1.872,(L)
Tunisia,Aluminium,7607,"Aluminium foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0,2 mm",1.44,,1.44,1.584,1.728,1.872,(L)
Tunisia,Aluminium,7608,Aluminium tubes and pipes,1.0,,1.0,1.1,1.2,1.3,(L)
Tunisia,Aluminium,76090000,"Aluminium tube or pipe fittings (for example, couplings, elbows, sleeves)",1.0,,1.0,1.1,1.2,1.3,(L)
Tunisia,Aluminium,76101000,"Doors, windows and their frames and thresholds for doors",1.0,,1.0,1.1,1.2,1.3,(L)
Tunisia,Aluminium,761090,Other,1.0,,1.0,1.1,1.2,1.3,(L)
Tunisia,Aluminium,76109010,"Bridges and bridge-sections, towers and lattice masts",1.0,,1.0,1.1,1.2,1.3,(L)
Tunisia,Aluminium,76109090,Other,1.0,,1.0,1.1,1.2,1.3,(L)
Tunisia,Aluminium,76110000,"Aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",1.44,,1.44,1.584,1.728,1.872,(L)
Tunisia,Aluminium,7612,"Aluminium casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any material (other than compressed or liquefied gas), of a capacity not exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",1.44,,1.44,1.584,1.728,1.872,(L)
Tunisia,Aluminium,76130000,Aluminium containers for compressed or liquefied gas,1.44,,1.44,1.584,1.728,1.872,(L)
Tunisia,Aluminium,7614,"Stranded wire, cables, plaited bands and the like, of aluminium, not electrically insulated",0.98,,0.98,1.078,1.176,1.274,(L)
Tunisia,Aluminium,76151010,Cast,1.44,,1.44,1.584,1.728,1.872,(L)
Tunisia,Aluminium,76151030,"Manufactured from foil of a thickness not exceeding 0,2 mm",1.44,,1.44,1.584,1.728,1.872,(L)
Tunisia,Aluminium,76151080,Other,0.76,,0.76,0.836,0.912,0.988,(L)
Tunisia,Aluminium,76152000,Sanitary ware and parts thereof,1.44,,1.44,1.584,1.728,1.872,(L)
Tunisia,Hydrogen,28041000,Hydrogen,10.82,,10.82,11.902,12.984,14.066, 
Türkiye,Cement,25070080,Calcined clay,,,,,,,
Türkiye,Cement,25231000,White clinker,,,,,,,
Türkiye,Cement,25231000,Grey clinker,,,,,,,
Türkiye,Cement,25232100,White Portland cement,,,,,,,
Türkiye,Cement,25232900,Grey Portland cement,,,,,,,
Türkiye,Cement,25239000,White hydraulic cements,,,,,,,
Türkiye,Cement,25239000,Grey hydraulic cements,,,,,,,
Türkiye,Cement,25233000,Aluminous cement,1.82,0.14,1.95,2.145,2.34,2.535, 
Türkiye,Fertilisers,28080000,Nitric acid; sulphonitric acids,2.68,0.03,2.72,2.747,2.747,2.747, 
Türkiye,Fertilisers,28141000,Anhydrous ammonia,2.17,0.1,2.27,2.293,2.293,2.293, 
Türkiye,Fertilisers,28142000,Ammonia in aqueous solution,0.65,0.03,0.68,0.687,0.687,0.687, 
Türkiye,Fertilisers,28342100,Nitrate of potassium,2.17,0.05,2.22,2.242,2.242,2.242, 
Türkiye,Fertilisers,3102,"Mineral or chemical fertilizers, nitrogenous",,,,see below,see below,see below, 
Türkiye,Fertilisers,31021012,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing =>31,8% but <=33,2 % by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",0.48,0.02,0.5,0.505,0.505,0.505, 
Türkiye,Fertilisers,31021015,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing >33,2% but <=55% by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",0.79,0.02,0.82,0.828,0.828,0.828, 
Türkiye,Fertilisers,31021019,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)",1.44,0.08,1.51,1.525,1.525,1.525, 
Türkiye,Fertilisers,31021090,"Urea, whether or not in aqueous solution, containing <= 45% by weight of nitrogen on the dry anhydrous product (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of <= 10 kg)",1.4,0.08,1.48,1.495,1.495,1.495, 
Türkiye,Fertilisers,31022100,"Ammonium sulphate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.63,0.06,0.68,0.687,0.687,0.687, 
Türkiye,Fertilisers,31022900,Double salts and mixtures of ammonium sulphate and ammonium nitrate,1.4,0.06,1.46,1.475,1.475,1.475, 
Türkiye,Fertilisers,31023010,Ammonium nitrate in aqueous solution (excl. that in packages with a gross weight of <= 10 kg),1.64,0.05,1.69,1.707,1.707,1.707, 
Türkiye,Fertilisers,31023090,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",2.53,0.07,2.6,2.626,2.626,2.626, 
Türkiye,Fertilisers,31024010,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing <= 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",2.16,0.07,2.23,2.252,2.252,2.252, 
Türkiye,Fertilisers,31024090,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing > 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",2.16,0.07,2.23,2.252,2.252,2.252, 
Türkiye,Fertilisers,31025000,"Sodium nitrate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",4.19,0.05,4.24,4.282,4.282,4.282, 
Türkiye,Fertilisers,31026000,"Double salts and mixtures of calcium nitrate and ammonium nitrate (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",2.12,0.06,2.18,2.202,2.202,2.202, 
Türkiye,Fertilisers,31028000,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excl. those in packages with a gross weight of <= 10 kg),1.58,0.06,1.64,1.656,1.656,1.656, 
Türkiye,Fertilisers,31029000,Mineral or chemical nitrogen fertilisers (excl. urea; ammonium sulphate; ammonium nitrate; sodium nitrate; double salts and mixtures of ammonium nitrate with ammonium sulphate or calcium; mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution; mixtures of ammonium nitrate and calcium carbonate or other non-fertilising inorganic elements; in tablets or similar in packages <= 10 kg),1.62,0.07,1.69,1.707,1.707,1.707, 
Türkiye,Fertilisers,3105,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium",,,,see below,see below,see below, 
Türkiye,Fertilisers,31051000,"Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, or in packages with a gross weight of <= 10 kg",0.8,0.06,0.86,0.869,0.869,0.869, 
Türkiye,Fertilisers,31052010,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.06,0.06,1.12,1.131,1.131,1.131, 
Türkiye,Fertilisers,31052090,"Mineral or chemical fertilisers containing nitrogen, phosphorus and potassium, with a nitrogen content <= 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.72,0.05,0.77,0.778,0.778,0.778, 
Türkiye,Fertilisers,31053000,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.51,0.04,0.55,0.556,0.556,0.556, 
Türkiye,Fertilisers,31054000,"Ammonium dihydrogenorthophosphate ""monoammonium phosphate"", whether or not mixed with diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.32,0.03,0.36,0.364,0.364,0.364, 
Türkiye,Fertilisers,31055100,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (nitrates and phosphates),1.46,0.08,1.54,1.555,1.555,1.555, 
Türkiye,Fertilisers,31055900,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (excl. nitrates and phosphates),0.58,0.08,0.66,0.667,0.667,0.667, 
Türkiye,Fertilisers,31059020,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one principal fertilising substance only, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, containing > 10% nitrogen by weight (excl. in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.43,0.05,1.48,1.495,1.495,1.495, 
Türkiye,Fertilisers,31059080,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one main fertilising element, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, not containing nitrogen or with a nitrogen content, by weight, of <= 10% (excl. in tablets or similar forms or in packages of a gross weight of <= 10 kg)",0.73,0.04,0.76,0.768,0.768,0.768, 
Türkiye,Aluminium,7601,Unwrought aluminium,1.7,,1.7,1.87,2.04,2.21,(K)
Türkiye,Aluminium,7603,Aluminium powders and flakes,3.369,,3.369,3.706,4.043,4.38,(K)
Türkiye,Aluminium,76041010,Bars and rods,3.741,,3.741,4.116,4.49,4.864,(K)
Türkiye,Aluminium,76041090,Profiles,3.741,,3.741,4.116,4.49,4.864,(K)
Türkiye,Aluminium,76042100,Hollow profiles,3.741,,3.741,4.116,4.49,4.864,(K)
Türkiye,Aluminium,76042910,Bars and rods,3.741,,3.741,4.116,4.49,4.864,(K)
Türkiye,Aluminium,76042990,Profiles,3.741,,3.741,4.116,4.49,4.864,(K)
Türkiye,Aluminium,7605,Aluminium wire,3.424,,3.424,3.766,4.109,4.451,(K)
Türkiye,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm",2.714,,2.714,2.985,3.257,3.528,(K)
Türkiye,Aluminium,7607,"Aluminium foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0,2 mm",3.071,,3.071,3.378,3.685,3.992,(K)
Türkiye,Aluminium,7608,Aluminium tubes and pipes,2.754,,2.754,3.029,3.304,3.58,(K)
Türkiye,Aluminium,76090000,"Aluminium tube or pipe fittings (for example, couplings, elbows, sleeves)",3.775,,3.775,4.153,4.53,4.908,(K)
Türkiye,Aluminium,76101000,"Doors, windows and their frames and thresholds for doors",2.674,,2.674,2.941,3.209,3.476,(K)
Türkiye,Aluminium,761090,Other,2.674,,2.674,2.941,3.209,3.476,(K)
Türkiye,Aluminium,76109010,"Bridges and bridge-sections, towers and lattice masts",2.674,,2.674,2.941,3.209,3.476,(K)
Türkiye,Aluminium,76109090,Other,2.674,,2.674,2.941,3.209,3.476,(K)
Türkiye,Aluminium,76110000,"Aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",4.52,,4.52,4.972,5.424,5.876,(K)
Türkiye,Aluminium,7612,"Aluminium casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any material (other than compressed or liquefied gas), of a capacity not exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",4.52,,4.52,4.972,5.424,5.876,(K)
Türkiye,Aluminium,76130000,Aluminium containers for compressed or liquefied gas,4.52,,4.52,4.972,5.424,5.876,(K)
Türkiye,Aluminium,7614,"Stranded wire, cables, plaited bands and the like, of aluminium, not electrically insulated",3.741,,3.741,4.116,4.49,4.864,(K)
Türkiye,Aluminium,76161000,"Nails, tacks, staples (other than those of heading 8305), screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers and similar articles",3.06,,3.06,3.366,3.672,3.978,(K)
Türkiye,Aluminium,76169100,"Cloth, grill, netting and fencing, of aluminium wire",3.06,,3.06,3.366,3.672,3.978,(K)
Türkiye,Aluminium,76169910,Cast,3.06,,3.06,3.366,3.672,3.978,(K)
Türkiye,Aluminium,76169990,Other,3.06,,3.06,3.366,3.672,3.978,(K)
Türkiye,Hydrogen,28041000,Hydrogen,10.82,,10.82,11.902,12.984,14.066, 
Türkiye,Iron and steel,26011200,Agglomerated iron ores and concentrates (excl. roasted iron pyrites),0.18,0.03,0.21,0.231,0.252,0.273, 
Türkiye,Iron and steel,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms",1.85,,1.85,2.035,2.22,2.405, 
Türkiye,Iron and steel,720211,"Ferro-manganese, containing by weight > 2% of carbon",1.69,,1.69,1.859,2.028,2.197, 
Türkiye,Iron and steel,720219,"Ferro-manganese, containing by weight <= 2% carbon",,,,,,, 
Türkiye,Iron and steel,720241,"Ferro-chromium, containing by weight > 4% of carbon",2.35,,2.35,2.585,2.82,3.055, 
Türkiye,Iron and steel,720249,"Ferro-chromium, containing by weight <= 4% of carbon",,,,,,, 
Türkiye,Iron and steel,72026000,Ferro-nickel,3.48,,3.48,3.828,4.176,4.524, 
Türkiye,Iron and steel,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",,,,,,, 
Türkiye,Iron and steel,7205,"Granules and powders of pig iron, spiegeleisen, iron or steel (excl. granules and powders of ferro-alloys, turnings and filings of iron or steel, radioactive iron powders ""isotopes"" and certain low-calibre, substandard balls for ballbearings)",1.89,,1.89,2.079,2.268,2.457,(C)
Türkiye,Iron and steel,7206,"Iron and non-alloy steel in ingots or other primary forms (excl. remelting scrap ingots, products obtained by continuous casting and iron of heading 7203)",,,,see below,see below,see below,
